"date";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.12.2012 00:00";"17.4";"761.1";"763.3";"";"72";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.2";"";"";"";"";"";"";
"26.12.2012 21:00";"20.2";"759.9";"762.1";"";"55";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"18.0";"25.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.8";"";"";"";"";"";"";
"26.12.2012 18:00";"23.6";"759.4";"761.7";"";"44";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.8";"";"";"";"";"";"";
"26.12.2012 15:00";"24.4";"760.0";"762.3";"";"39";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.6";"";"";"";"";"";"";
"26.12.2012 12:00";"22.2";"760.0";"762.3";"";"45";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.8";"";"";"";"";"";"";
"26.12.2012 09:00";"18.0";"758.5";"760.7";"";"64";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"15.4";"21.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"11.1";"0.3";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"26.12.2012 06:00";"15.7";"757.4";"759.6";"";"78";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"11.9";"";"";"";"";"";"";
"26.12.2012 03:00";"17.7";"756.1";"758.3";"";"69";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"26.12.2012 00:00";"19.9";"755.7";"757.9";"";"54";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"25.12.2012 21:00";"21.6";"753.7";"755.8";"";"51";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"20.8";"27.0";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"25.12.2012 18:00";"25.4";"751.3";"753.4";"";"46";"Wind blowing from the south-west";"4";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.8";"";"";"";"";"";"";
"25.12.2012 15:00";"26.6";"750.4";"752.6";"";"54";"Wind blowing from the south";"3";"";"";"60%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.4";"0.3";"6";"";"";"";"";
"25.12.2012 12:00";"23.0";"749.2";"751.4";"";"66";"Wind blowing from the west";"2";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"16.2";"";"";"";"";"";"";
"25.12.2012 09:00";"21.8";"747.7";"749.8";"";"96";"Wind blowing from the south";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"20.5";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"5.0";"21.2";"24.0";"6";"Flooded.";"";"";"";
"25.12.2012 06:00";"20.6";"746.5";"748.6";"";"96";"Wind blowing from the south-east";"5";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"5.0";"20.0";"";"";"";"";"";"";
"25.12.2012 03:00";"21.7";"746.1";"748.2";"";"90";"Wind blowing from the south-southeast";"5";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.0";"0.2";"6";"";"";"";"";
"25.12.2012 00:00";"31.5";"744.8";"746.8";"";"65";"Wind blowing from the north";"3";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"24.1";"";"";"";"";"";"";
"24.12.2012 21:00";"33.5";"743.6";"745.6";"";"62";"Wind blowing from the north-northwest";"4";"";"";"20–30%.";" ";"";"";"29.5";"37.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"25.2";"";"";"";"";"";"";
"24.12.2012 18:00";"36.3";"744.4";"746.5";"";"52";"Wind blowing from the north-west";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"24.8";"";"";"";"";"";"";
"24.12.2012 15:00";"35.5";"747.4";"749.6";"";"53";"Wind blowing from the north";"5";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.5";"";"";"";"";"";"";
"24.12.2012 12:00";"33.4";"749.4";"751.5";"";"65";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.8";"";"";"";"";"";"";
"24.12.2012 09:00";"29.5";"751.0";"753.2";"";"74";"Wind blowing from the north-east";"3";"";"";"40%.";" ";"";"";"25.3";"29.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"24.12.2012 06:00";"26.6";"751.4";"753.5";"";"83";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"24.12.2012 03:00";"26.8";"751.2";"753.3";"";"78";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.6";"";"";"";"";"";"";
"24.12.2012 00:00";"25.6";"752.8";"754.9";"";"80";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.9";"";"";"";"";"";"";
"23.12.2012 21:00";"27.0";"752.1";"754.3";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"24.4";"31.7";"";"";"";"";"";"10.0";"20.4";"";"";"";"";"";"";
"23.12.2012 18:00";"30.7";"752.7";"754.8";"";"45";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.3";"";"";"";"";"";"";
"23.12.2012 15:00";"30.8";"753.7";"755.8";"";"50";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.3";"";"";"";"";"";"";
"23.12.2012 09:00";"24.4";"755.8";"758.0";"";"64";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"21.1";"26.9";"";"";"";"";"";"10.0";"17.2";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"23.12.2012 06:00";"21.2";"756.0";"758.2";"";"74";"Wind blowing from the north-northeast";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.3";"";"";"";"";"";"";
"23.12.2012 03:00";"23.0";"756.4";"758.6";"";"61";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"23.12.2012 00:00";"25.1";"757.2";"759.3";"";"49";"Wind blowing from the north";"6";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"22.12.2012 21:00";"26.9";"757.2";"759.4";"";"43";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"24.9";"30.8";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"22.12.2012 18:00";"30.2";"757.4";"759.5";"";"34";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"22.12.2012 15:00";"30.2";"759.0";"761.2";"";"36";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"22.12.2012 12:00";"27.6";"760.0";"762.3";"";"51";"Wind blowing from the north";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"22.12.2012 09:00";"24.9";"761.2";"763.4";"";"52";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.5";"24.9";"";"";"";"";"";"10.0";"14.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"22.12.2012 06:00";"21.4";"760.6";"762.8";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"22.12.2012 03:00";"20.0";"760.6";"762.8";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"22.12.2012 00:00";"20.6";"760.9";"763.0";"";"60";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"21.12.2012 21:00";"24.0";"760.0";"762.2";"";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"23.4";"27.2";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"21.12.2012 18:00";"26.4";"759.9";"762.1";"";"34";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"21.12.2012 15:00";"26.8";"760.3";"762.4";"";"27";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"21.12.2012 12:00";"26.2";"760.2";"762.3";"";"21";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"2.0";"";"";"";"";"";"";
