"date";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 15:00";"34.2";"753.7";"755.8";"-1.3";"46";"Wind blowing from the north-west";"4";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.0";"";"";"";"";"";"";
"29.12.2017 12:00";"34.2";"755.0";"757.2";"-1.1";"45";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.5";"";"";"";"";"";"";
"29.12.2017 09:00";"30.0";"756.1";"758.2";"0.3";"55";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.0";"30.0";"";"";"";"";"";"10.0";"20.1";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"23.0";"";"";
"29.12.2017 06:00";"24.1";"755.8";"758.0";"0.5";"76";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.5";"";"";"";"";"";"";
"29.12.2017 03:00";"26.6";"755.3";"757.4";"-0.9";"64";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.1";"";"";"";"";"";"";
"29.12.2017 00:00";"28.8";"756.2";"758.3";"0.7";"50";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.2";"";"";"";"";"";"";
"28.12.2017 21:00";"29.6";"755.5";"757.6";"0.6";"45";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"28.0";"35.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.3";"";"";"";"";"";"";
"28.12.2017 18:00";"33.3";"754.9";"757.1";"-1.8";"38";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.3";"";"";"";"";"";"";
"28.12.2017 15:00";"34.3";"756.7";"758.9";"-1.5";"21";"Wind blowing from the north-west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.9";"";"";"";"";"";"";
"28.12.2017 12:00";"32.0";"758.2";"760.3";"-0.3";"35";"Wind blowing from the north";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"14.6";"";"";"";"";"";"";
"28.12.2017 09:00";"28.0";"758.5";"760.7";"0.6";"62";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"23.1";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"20.0";"";"";"Surface of ground moist.";"21.0";"";"";
"28.12.2017 06:00";"23.5";"757.9";"760.0";"0.5";"82";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.3";"";"";"";"";"";"";
"28.12.2017 03:00";"23.7";"757.4";"759.7";"-0.9";"76";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.1";"";"";"";"";"";"";
"28.12.2017 00:00";"24.3";"758.3";"760.5";"0.9";"83";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.3";"";"";"";"";"";"";
"27.12.2017 21:00";"25.0";"757.4";"759.6";"0.1";"74";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"24.5";"31.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"20.1";"";"";"";"";"";"";
"27.12.2017 18:00";"28.9";"757.3";"759.4";"-0.7";"58";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"19.7";"";"";"";"";"";"";
"27.12.2017 15:00";"30.0";"758.0";"760.2";"-1.1";"57";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"20.5";"";"";"";"";"";"";
"27.12.2017 12:00";"30.2";"759.1";"761.3";"0.0";"46";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"17.3";"";"";"";"";"";"";
"27.12.2017 09:00";"26.0";"759.1";"761.2";"0.8";"65";"Wind blowing from the east";"1";"";"";"60%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.3";"28.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"18.9";"Trace of precipitation";"6";"Dry (without cracks, no appreciable amount of dust or loose sand)";"21.0";"";"";
"27.12.2017 06:00";"22.3";"758.3";"760.6";"0.9";"78";"Wind blowing from the north-east";"1";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"18.2";"";"";"";"";"";"";
"27.12.2017 03:00";"26.0";"757.4";"759.5";"0.1";"61";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"9.0";"18.0";"Trace of precipitation";"6";"";"";"";"";
"27.12.2017 00:00";"26.5";"757.3";"759.4";"1.5";"61";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"18.4";"";"";"";"";"";"";
"26.12.2017 21:00";"28.5";"755.8";"757.9";"1.2";"63";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"27.4";"34.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"20.9";"";"";"";"";"";"";
"26.12.2017 18:00";"33.6";"754.6";"756.7";"-0.7";"41";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"18.6";"";"";"";"";"";"";
"26.12.2017 15:00";"32.9";"755.3";"757.4";"-0.5";"44";"Wind blowing from the north-west";"3";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.0";"";"";"";"";"";"";
"26.12.2017 12:00";"32.6";"755.8";"757.9";"-0.3";"42";"Wind blowing from the west";"4";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.9";"";"";"";"";"";"";
"26.12.2017 09:00";"27.4";"756.1";"758.2";"1.4";"51";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"24.0";"28.6";"";"";"";"";"";"10.0";"16.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"21.0";"";"";
"26.12.2017 06:00";"24.4";"754.7";"756.9";"0.6";"50";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"26.12.2017 03:00";"25.1";"754.1";"756.2";"-0.5";"54";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"26.12.2017 00:00";"26.6";"754.6";"756.7";"0.5";"52";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"25.12.2017 21:00";"28.6";"754.1";"756.3";"0.3";"52";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"25.0";"32.9";"";"";"";"";"";"10.0";"17.7";"";"";"";"";"";"";
"25.12.2017 18:00";"31.9";"753.8";"756.0";"-1.2";"42";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"25.12.2017 15:00";"32.4";"755.0";"757.3";"-1.5";"41";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"25.12.2017 12:00";"28.9";"756.5";"758.8";"-0.9";"42";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"25.12.2017 09:00";"25.0";"757.4";"759.6";"0.0";"48";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"18.2";"25.0";"";"";"";"";"";"10.0";"13.1";"";"";"Surface of ground moist.";"16.0";"";"";
"25.12.2017 06:00";"19.4";"757.4";"759.6";"0.4";"65";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"25.12.2017 03:00";"19.4";"757.0";"759.2";"-1.0";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
"25.12.2017 00:00";"19.8";"758.0";"760.3";"0.3";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.6";"";"";"";"";"";"";
"24.12.2017 21:00";"21.1";"757.7";"760.0";"-0.3";"48";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"19.8";"24.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"9.5";"";"";"";"";"";"";
"24.12.2017 18:00";"23.2";"758.0";"760.3";"-1.2";"39";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.6";"";"";"";"";"";"";
"24.12.2017 15:00";"23.1";"759.2";"761.5";"-1.7";"44";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"24.12.2017 12:00";"22.0";"760.9";"763.2";"-0.9";"44";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"24.12.2017 09:00";"19.8";"761.8";"763.9";"0.6";"52";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"12.3";"19.8";"";"";"";"";"";"10.0";"9.6";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"12.0";"";"";
"24.12.2017 06:00";"12.4";"761.2";"763.4";"0.9";"79";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"24.12.2017 03:00";"15.6";"760.3";"762.5";"-0.3";"60";"Wind blowing from the south-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"24.12.2017 00:00";"17.5";"760.6";"762.9";"1.4";"56";"Wind blowing from the east";"7";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"23.12.2017 21:00";"19.3";"759.2";"761.5";"1.3";"58";"Wind blowing from the east";"5";"";"";"10%  or less, but not 0";" ";"";"";"19.3";"24.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"10.7";"";"";"";"";"";"";
"23.12.2017 18:00";"22.4";"757.9";"760.1";"0.2";"44";"Wind blowing from the south-east";"3";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.4";"";"";"";"";"";"";
"23.12.2017 15:00";"23.2";"757.7";"760.0";"0.6";"57";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"14.1";"";"";"";"";"";"";
"23.12.2017 12:00";"19.8";"757.1";"759.3";"1.2";"86";"Wind blowing from the south-east";"4";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"17.4";"";"";"";"";"";"";
"23.12.2017 09:00";"21.1";"755.9";"758.2";"3.0";"86";"Wind blowing from the east";"4";"";"";"100%.";" ";"";"";"19.2";"30.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"18.6";"11.0";"24";"Surface of ground moist.";"20.0";"";"";
"23.12.2017 06:00";"19.4";"752.9";"755.2";"1.9";"94";"Wind blowing from the south-east";"2";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"18.4";"";"";"";"";"";"";
"23.12.2017 03:00";"20.4";"751.0";"753.2";"-4.6";"97";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"19.9";"11.0";"6";"";"";"";"";
"23.12.2017 00:00";"20.9";"755.6";"757.8";"5.2";"93";"Wind blowing from the north-west";"1";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"9.0";"19.8";"";"";"";"";"";"";
"22.12.2017 21:00";"30.3";"750.4";"752.5";"0.0";"59";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"27.6";"32.9";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.3";"";"";"";"";"";"";
"22.12.2017 18:00";"31.4";"750.4";"752.5";"-1.9";"55";"Wind blowing from the north-west";"5";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.4";"";"";"";"";"";"";
"22.12.2017 15:00";"31.7";"752.3";"754.4";"-1.1";"59";"Wind blowing from the north";"8";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.6";"";"";"";"";"";"";
"22.12.2017 12:00";"32.0";"753.4";"755.5";"-0.7";"55";"Wind blowing from the north-west";"5";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.8";"";"";"";"";"";"";
"22.12.2017 09:00";"28.0";"754.1";"756.4";"0.3";"67";"Wind blowing from the north-west";"3";"";"";"40%.";" ";"";"";"22.5";"28.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.2";"0.6";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"21.0";"";"";
"22.12.2017 06:00";"25.5";"753.8";"755.9";"-0.5";"75";"Wind blowing from the north";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.7";"";"";"";"";"";"";
"22.12.2017 03:00";"24.2";"754.3";"756.4";"-0.4";"83";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.2";"0.6";"6";"";"";"";"";
