"date";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.10.2011 03:00";"11.1";"754.4";"756.6";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.5";"";"";"";"";"";"";
"27.10.2011 18:00";"21.4";"753.8";"756.0";"";"34";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.7";"";"";"";"";"";"";
"27.10.2011 15:00";"22.3";"754.6";"756.9";"";"36";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"27.10.2011 12:00";"18.1";"756.2";"758.4";"";"47";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.6";"";"";"";"";"";"";
"27.10.2011 09:00";"12.5";"757.2";"759.4";"";"65";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"8.0";"14.8";"";"";"";"";"";"10.0";"6.0";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"27.10.2011 06:00";"8.2";"757.0";"759.2";"";"88";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.3";"";"";"";"";"";"";
"27.10.2011 03:00";"9.6";"757.6";"759.9";"";"82";"Wind blowing from the south-west";"6";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.6";"";"";"";"";"";"";
"27.10.2011 00:00";"11.7";"757.8";"760.0";"";"68";"Wind blowing from the south-west";"3";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.0";"";"";"";"";"";"";
"26.10.2011 15:00";"20.2";"759.3";"761.6";"";"46";"Wind blowing from the south";"3";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.2";"";"";"";"";"";"";
"26.10.2011 12:00";"17.5";"760.2";"762.4";"";"48";"Wind blowing from the south-southeast";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.5";"";"";"";"";"";"";
"26.10.2011 09:00";"13.6";"760.3";"762.5";"";"65";"Wind blowing from the south";"4";"";"";"20–30%.";" ";"";"";"10.2";"17.9";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.1";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"26.10.2011 06:00";"10.3";"760.4";"762.6";"";"76";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"6.3";"";"";"";"";"";"";
"26.10.2011 00:00";"13.4";"760.9";"763.1";"";"77";"Wind blowing from the south-east";"7";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.5";"";"";"";"";"";"";
"25.10.2011 21:00";"17.9";"759.3";"761.5";"";"57";"Wind blowing from the south-east";"3";"";"";"100%.";" ";"";"";"15.0";"21.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"10.0";"9.2";"";"";"";"";"";"";
"25.10.2011 18:00";"20.0";"758.5";"760.7";"";"45";"Wind blowing from the south-east";"2";"";"";"100%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"10.0";"7.7";"";"";"";"";"";"";
"25.10.2011 15:00";"21.3";"758.8";"761.2";"";"55";"Wind blowing from the south-east";"3";"";"";"100%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus covering the whole sky.";"10.0";"12.0";"";"";"";"";"";"";
"25.10.2011 12:00";"20.0";"758.8";"761.1";"";"63";"Wind blowing from the south";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"12.8";"";"";"";"";"";"";
"25.10.2011 09:00";"15.0";"759.4";"761.6";"";"84";"Wind blowing from the south-east";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.4";"17.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"12.3";"Trace of precipitation";"6";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"25.10.2011 06:00";"15.4";"757.6";"759.9";"";"83";"Wind blowing from the south-east";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"9.0";"12.5";"";"";"";"";"";"";
"25.10.2011 03:00";"15.8";"757.3";"";"";"79";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.2";"";"";"";"";"";"";
"25.10.2011 00:00";"16.4";"758.2";"760.5";"";"76";"Wind blowing from the south-east";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.1";"";"";"";"";"";"";
"24.10.2011 21:00";"16.4";"757.8";"760.0";"";"76";"Wind blowing from the south-east";"4";"";"";"60%.";" ";"";"";"16.4";"22.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.1";"";"";"";"";"";"";
"24.10.2011 18:00";"18.4";"757.2";"759.4";"";"72";"Wind blowing from the east";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"13.2";"";"";"";"";"";"";
"24.10.2011 15:00";"21.4";"757.6";"759.9";"";"62";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.9";"";"";"";"";"";"";
"24.10.2011 12:00";"19.4";"760.0";"762.2";"";"72";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"14.3";"";"";"";"";"";"";
"24.10.2011 09:00";"16.4";"759.4";"761.7";"";"95";"Wind blowing from the east";"4";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"15.0";"16.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"15.6";"Trace of precipitation";"6";"Surface of ground moist.";"";"";"";
"24.10.2011 06:00";"16.0";"759.6";"761.8";"";"91";"Wind blowing from the south-east";"1";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"9.0";"14.6";"";"";"";"";"";"";
"24.10.2011 03:00";"16.0";"760.0";"762.4";"";"85";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"13.5";"";"";"";"";"";"";
"24.10.2011 00:00";"16.0";"761.2";"763.4";"";"81";"Wind blowing from the south-east";"2";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"12.8";"";"";"";"";"";"";
"23.10.2011 21:00";"16.8";"761.1";"763.4";"";"76";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"14.4";"20.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.5";"";"";"";"";"";"";
"23.10.2011 18:00";"19.2";"760.9";"763.2";"";"68";"Wind blowing from the south-east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"13.1";"";"";"";"";"";"";
"23.10.2011 15:00";"20.0";"762.4";"764.6";"";"67";"Wind blowing from the south-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.6";"";"";"";"";"";"";
"23.10.2011 12:00";"19.2";"763.3";"765.5";"";"71";"Wind blowing from the south-east";"3";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"";"";"10.0";"13.9";"";"";"";"";"";"";
"23.10.2011 09:00";"14.4";"764.2";"766.5";"";"77";"Wind blowing from the south-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"11.1";"14.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"23.10.2011 06:00";"11.4";"763.0";"765.2";"";"86";"Wind blowing from the south-east";"3";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.2";"";"";"";"";"";"";
"23.10.2011 03:00";"12.2";"762.9";"765.2";"";"85";"Wind blowing from the south-east";"4";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.7";"";"";"";"";"";"";
"23.10.2011 00:00";"13.8";"764.1";"766.4";"";"76";"Wind blowing from the south-east";"3";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.6";"";"";"";"";"";"";
"22.10.2011 21:00";"14.8";"763.6";"765.9";"";"70";"Wind blowing from the south-east";"3";"";"";"100%.";" ";"";"";"14.8";"23.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"10.0";"9.4";"";"";"";"";"";"";
"22.10.2011 18:00";"16.4";"762.4";"764.8";"";"64";"Wind blowing from the east";"5";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"9.6";"";"";"";"";"";"";
"22.10.2011 15:00";"17.9";"761.5";"763.7";"";"75";"Wind blowing from the south";"6";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"13.4";"";"";"";"";"";"";
"22.10.2011 12:00";"23.2";"761.1";"763.3";"";"62";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"15.5";"";"";"";"";"";"";
"22.10.2011 09:00";"18.9";"760.9";"763.0";"";"77";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"15.7";"21.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"14.8";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"22.10.2011 06:00";"17.9";"758.1";"760.3";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
"22.10.2011 03:00";"17.0";"756.9";"759.1";"";"94";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"21.10.2011 09:00";"19.1";"760.0";"762.3";"";"73";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"17.1";"21.7";"";"";"";"";"";"10.0";"14.1";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"21.10.2011 06:00";"17.5";"759.8";"762.0";"";"83";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"21.10.2011 00:00";"20.4";"760.6";"762.8";"";"65";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"20.10.2011 18:00";"24.0";"760.8";"763.0";"";"53";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.9";"";"";"";"";"";"";
"20.10.2011 15:00";"24.6";"761.4";"763.6";"";"51";"Wind blowing from the north";"4";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.7";"";"";"";"";"";"";
"20.10.2011 12:00";"23.4";"763.2";"765.4";"";"64";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.1";"";"";"";"";"";"";
"20.10.2011 09:00";"19.1";"763.9";"766.1";"";"78";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"14.9";"19.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.2";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"20.10.2011 06:00";"15.4";"762.8";"765.1";"";"94";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"14.4";"";"";"";"";"";"";
"20.10.2011 03:00";"16.0";"762.6";"764.8";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"20.10.2011 00:00";"17.6";"763.6";"765.8";"";"86";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
"19.10.2011 21:00";"18.4";"763.2";"765.4";"";"77";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"18.3";"22.6";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"19.10.2011 18:00";"21.4";"763.0";"765.2";"";"53";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"19.10.2011 15:00";"22.0";"763.5";"765.8";"";"50";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"19.10.2011 12:00";"20.7";"764.7";"766.9";"";"62";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.1";"";"";"";"";"";"";
"19.10.2011 09:00";"18.3";"765.4";"767.6";"";"76";"Wind blowing from the north-northeast";"0";"";"";"60%.";" ";"";"";"11.5";"18.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.0";"3.0";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"19.10.2011 06:00";"12.3";"764.5";"766.7";"";"96";"Wind blowing from the north-east";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.7";"";"";"";"";"";"";
